name	country	age	gender	playcount
Kacper133	Poland	0	n	60688
NenaMygrain	Czech Republic	0	n	43819
Hassuskarhu	Finland	0	n	42203
Mr_Apache	Czech Republic	0	n	211005
totinferno666	Brazil	0	n	188716
AbsoIution		0	n	39567
Don82	Czech Republic	0	n	6845
finfish	Slovakia	0	n	38
george_nyvlt	Czech Republic	0	n	15454
rbako	Poland	0	n	46304
Seiswork-lastfm	Belgium	0	n	1427
JakeLafferty	United States	0	n	173147
nable7	Canada	0	n	17548
apfelhaeuptling	Germany	0	n	1401092
parshul	Romania	0	n	33500
Ye110w	Czech Republic	0	n	170099
SpiritWarrior		0	n	303682
glain966		0	n	4972
FetterTaure	Germany	0	n	34585
zbiejczuk	Czech Republic	0	n	42895
liviaa_rose	Greece	0	n	36475
wishfree		0	n	4
Istarin	Finland	0	n	0
electric_storm	United Kingdom	0	n	169151
unstick		0	n	191
SeL-Metallica	Russian Federation	0	n	2408
ROOOAARIMAFISH	United Kingdom	0	n	4068
akikochandini	United States	0	n	844
sovicka	Czech Republic	0	n	91430
Perutynka	Czech Republic	0	n	20707
gabrielsapiens	Brazil	0	n	157413
idlot_live	China	0	n	194154
Zgrnd	Slovakia	0	n	1352
Yazhee		0	n	149
Hanzmannieax	Czech Republic	0	n	19265
mihaelcmrk	Croatia	0	n	14088
Crusaderr	Russian Federation	0	n	25284
p3r31r40	Brazil	0	n	157328
of_voidness		0	n	2200
soadsue	Germany	0	n	110823
Kohlgrubber	Germany	0	n	15958
lukrowanypaczek	Poland	0	n	16194
airfixfighter	United Kingdom	0	n	29823
clementine27	Romania	0	n	19192
valencianas		0	n	204
Sinn__Frei		0	n	821
wiceii	United Kingdom	0	n	31470
Venca0_o	Russian Federation	0	n	9867
KiDamnBaby	Italy	0	n	16460
Metalmania91	United States	0	n	319852
Brutchev		0	n	16383
superskai	Finland	0	n	236779
fk_a		0	n	11785
Zilla2112	United States	0	n	25461
massju		0	n	216318
timrik	Russian Federation	0	n	53263
switchding	Germany	0	n	65077
qwapka	Slovakia	0	n	27096
marbyheavy666	Spain	0	n	11232
braker4	Spain	0	n	191859
pramudeatha	Indonesia	0	n	95333
PinkThriller	United Kingdom	0	n	10692
HeirofDunwall		0	n	29346
MrTegovski	Macedonia	0	n	6043
1-2-X-U	United States	0	n	48695
Lachrymosse	Norway	0	n	24414
doosh77	Czech Republic	0	n	152035
RobbyInfamous	United States	0	n	18822
shahriarhsn	Austria	0	n	29430
screamsilences	Germany	0	n	17183
degreenify	France	0	n	15889
iambeppe	Ukraine	0	n	21233
yendii	Czech Republic	0	n	33541
FastAsFukk	Belarus	0	n	69204
Gonginho	Slovakia	0	n	4536
Attak97	Russian Federation	0	n	19311
ANGAKOK_THOTH	Slovakia	0	n	36713
bungalow_bums	Russian Federation	0	n	198
Qinthara	Indonesia	0	n	115534
strawbaby	Brazil	0	n	28705
adriaanfillet	Belgium	0	n	27102
MissLaney	Czech Republic	0	n	81536
LivCarroll	Hungary	0	n	38735
erduprince	United Kingdom	0	n	186373
iseesadpeople		0	n	57557
jkonrath	United States	0	n	27938
Sake0_0	Serbia	0	n	121942
Luiz_Kblo	Brazil	0	n	20424
Vlismas	United Kingdom	0	n	96392
Calamara	Italy	0	n	18573
B_Julia_11	Romania	0	n	25285
UnseenInsaneI	Serbia	0	n	46469
NicoleLadytron	Slovakia	0	n	14168
TheCatSamurai	Germany	0	n	20539
wecomeagain		0	n	82
JanooK	Slovakia	0	n	51485
splenomegalija	Serbia	0	n	5449
mistarstruck85	Brazil	0	n	2692
JorikK	Netherlands	0	n	10178
phirnis	Austria	0	n	8021
