	rock	indie	pop	alternative	electronic	classic rock	female vocalists	alternative rock	british	indie rock	soul	dance	singer songwriter	folk	rap	indie pop	hard rock	american	acoustic	metal	house	hip hop	chillout	electronica	80s	jazz	male vocalists	blues	britpop	rnb	experimental	funk	grunge	punk	ambient	new wave	psychedelic	90s	progressive rock	heavy metal	downtempo	canadian	70s	reggae	psychedelic rock	electro	r&b	00s	60s	dubstep	techno	country	instrumental	australian	synthpop	glam rock	french	oldies	electropop	classical	emo	pop rock	dream pop	swedish	thrash metal	female vocalist	dancehall	irish	piano	uk	punk rock	soundtrack	latin	lo fi	industrial	alternative metal	rhythm and blues	disco	shoegaze	indie folk	favorites	female	electro house	dub	sexy	legend	chill	motown	guitar	swing	english	folk rock	club	soft rock	PC1_sum	PC2_sum	k_means_groups
Slovakia	0.093979	0.061441	0.029295	0.064962	0.060615	0.038585	0.018812	0.03407	0.030493	0.022728	0.012255	0.013646	0.016292	0.01509	0.007367	0.013646	0.017209	0.008054	0.007415	0.012755	0.00645	0.003957	0.012028	0.011713	0.008901	0.005117	0.005135	0.007745	0.009403	0.002885	0.00716	0.004845	0.009891	0.009392	0.011161	0.007398	0.007333	0.006278	0.005626	0.007377	0.007404	0.002864	0.004978	0.001611	0.006111	0.003549	0.001201	0.002841	0.004873	0.003155	0.004858	0.002571	0.004693	0.003192	0.002536	0.003179	0.001519	0.003292	0.001458	0.002553	0.00073	0.002333	0.002285	0.001544	0.00263	0.001163	0.001826	0.002038	0.001786	0.002513	0.003122	0.00393	0.0	0.001092	0.005089	0.002706	0.001166	0.001142	0.001959	0.001716	0.001546	0.000698	0.001006	0.001315	0.000489	0.001076	0.001094	0.001495	0.001364	0.001368	0.001249	0.001149	0.00088	0.00054	-0.167796227054	0.0140896575259	0
Somalia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
Peru	0.105105	0.062961	0.056851	0.069394	0.042691	0.030163	0.024322	0.038749	0.02953	0.029558	0.008896	0.0192	0.011445	0.003764	0.007099	0.013704	0.012544	0.008502	0.003213	0.005653	0.007977	0.004059	0.003258	0.006007	0.01126	0.002169	0.007681	0.003959	0.014326	0.003924	0.004169	0.005558	0.009782	0.008979	0.001133	0.011461	0.006278	0.008033	0.00487	0.002439	0.00168	0.003999	0.004279	0.00396	0.005163	0.00338	0.002969	0.003797	0.002699	0.001846	0.002281	0.000119	0.000214	0.001755	0.002927	0.003031	0.002559	0.001195	0.002623	4.7e-05	0.001492	0.002895	0.001578	0.000877	0.001758	0.002244	0.002122	0.002083	0.000411	0.002327	0.003051	0.000162	0.012127	0.000442	0.000147	0.000751	0.000383	0.001658	0.001647	0.000157	0.001847	0.001357	0.00151	0.001396	0.001839	0.001457	0.000563	0.000279	0.000488	0.000138	0.00133	0.00046	0.001327	0.000692	-0.174965805575	0.0309178229383	0
Vanuatu	0.101657	0.066541	0.039666	0.076859	0.044059	0.027873	0.030359	0.038693	0.023122	0.031489	0.004068	0.019051	0.014743	0.012843	0.00937	0.013586	0.014877	0.009819	0.008224	0.018242	0.005199	0.005485	0.006347	0.010394	0.008667	0.003902	0.003941	0.007434	0.010234	0.002286	0.007402	0.003523	0.008827	0.010325	0.005799	0.004892	0.005167	0.008219	0.006722	0.010454	0.003856	0.004203	0.004887	0.002242	0.004283	0.003109	0.000584	0.003695	0.003819	0.000684	0.00453	0.003997	0.00032	0.000573	0.001602	0.004599	0.002198	0.001659	0.00173	0.0	0.004452	0.001727	0.002124	0.000887	0.007104	0.001984	0.000102	0.000937	0.002171	0.002045	0.00195	0.000111	0.000446	0.002093	0.007134	0.001941	0.000155	0.003398	0.00127	0.001	0.002349	0.001897	0.000264	0.000166	0.0009	0.00159	0.001658	3.9e-05	0.000595	0.000747	0.001119	0.00075	0.000889	0.000649	-0.176314819391	0.0188230634272	0
Norway	0.068255	0.054202	0.060631	0.039966	0.055384	0.036774	0.027454	0.020717	0.023929	0.016126	0.017768	0.022092	0.025224	0.025441	0.014945	0.014623	0.010379	0.008372	0.012502	0.00458	0.015108	0.007264	0.008806	0.009391	0.007865	0.004681	0.008539	0.008116	0.003811	0.006404	0.004954	0.005503	0.00397	0.00317	0.004377	0.002763	0.004758	0.00307	0.005184	0.004651	0.004118	0.004241	0.004843	0.002724	0.004438	0.005361	0.003714	0.003254	0.004052	0.003634	0.002649	0.003546	0.000756	0.002259	0.00204	0.003047	0.001255	0.003824	0.003377	0.0004	0.000625	0.002109	0.002493	0.009157	0.002234	0.002373	0.002251	0.00234	0.001319	0.001703	0.000947	0.000835	0.0	0.001611	4e-05	8.3e-05	0.001197	0.001501	0.001739	0.002141	0.001393	0.001228	0.002817	0.001591	0.001254	0.001394	0.001626	0.001908	0.001808	0.00208	0.00115	0.001449	0.001617	0.001041	-0.138020998736	0.0589531177412	3
Malawi	0.029189	0.021903	0.055527	0.017025	0.035188	0.011796	0.024992	0.00781	0.016328	0.003561	0.037126	0.014817	0.011968	0.003272	0.099525	0.006519	0.003765	0.01353	0.004357	0.001953	0.012107	0.047962	0.007566	0.005449	0.003793	0.007501	0.008763	0.005802	0.002209	0.014707	0.002376	0.013908	0.000115	0.00136	0.003734	0.000519	0.000973	0.002121	0.001067	0.000431	0.004272	0.004366	0.003982	0.012436	0.000339	0.003061	0.006478	0.002798	0.00163	0.003193	0.002672	0.0034	0.002502	0.000481	0.00154	6.7e-05	0.002784	0.002974	0.001855	0.001481	0.002014	0.002007	0.000723	0.000678	6.1e-05	0.001782	0.005862	0.00277	0.001098	0.001238	0.000672	0.00364	3.3e-05	3.1e-05	3.8e-05	0.000183	0.005278	0.001533	0.001802	0.000604	0.000612	0.001338	0.001384	0.001375	0.001851	0.001237	0.001406	0.003867	0.00013	0.001724	0.000855	0.000333	0.001775	0.00107	-0.0691644342381	0.098472657838	2
Benin	0.017529	0.007921	0.017481	0.003629	0.008175	0.012994	0.046683	0.000404	0.00587	0.000156	0.042907	0.001682	0.017797	0.019649	0.001355	0.000545	0.000921	0.006286	0.011406	4.8e-05	0.000155	0.001824	0.012033	0.001297	0.004112	0.140922	0.005147	0.03601	0.000468	0.004523	0.004384	0.009395	0.0	0.000164	0.004042	0.001031	0.000195	0.002268	9.3e-05	0.0	0.002594	0.001919	0.003266	0.015123	0.000127	9.1e-05	0.001165	0.001787	0.00353	0.002527	0.000849	0.001181	0.015265	0.0	0.000162	0.0	0.010548	0.00553	1.4e-05	0.012916	0.00012	0.000372	0.000735	0.004373	0.0	0.003088	4.5e-05	0.000444	0.013899	0.001227	4.1e-05	0.009476	0.002489	2.1e-05	0.000291	0.0	0.006845	0.000282	1.4e-05	0.000982	0.000545	0.002318	0.0	0.001162	0.000639	0.000787	0.001347	0.000998	0.007837	0.006766	0.000461	0.000781	0.0	0.001061	-0.0331916787946	0.0510524692793	1
Congo, the Democratic Republic of the	0.028931	0.03633	0.046547	0.021947	0.050579	0.012367	0.020252	0.007576	0.023083	0.011886	0.02637	0.01158	0.015012	0.016502	0.014797	0.007189	0.000395	0.00733	0.008725	0.000286	0.009061	0.010382	0.010328	0.00863	0.001847	0.038368	0.008986	0.012599	0.006754	0.006509	0.013627	0.014001	6.1e-05	0.000535	0.017085	0.001527	0.005868	0.001328	0.003515	8.8e-05	0.007007	0.005154	0.00325	0.01313	0.002477	0.002293	0.003593	0.002089	0.002609	0.008223	0.00261	0.00385	0.008218	0.000541	0.001986	0.002178	0.002316	0.002938	0.002707	0.005504	0.000333	0.001344	0.002508	0.002723	2.6e-05	0.001826	0.005163	0.0011	0.00317	0.002057	6.8e-05	0.002336	0.002693	0.003013	5.2e-05	0.0	0.00383	0.000347	0.001671	0.00094	0.000691	0.000835	0.003545	0.006391	0.001246	0.000706	0.001326	0.000269	0.001799	0.00377	0.001053	0.000816	0.000416	0.001202	-0.0816292951313	0.0631908908121	2
Western Sahara	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
Cuba	0.077365	0.048026	0.063874	0.055298	0.055419	0.017813	0.025205	0.034473	0.01766	0.018212	0.024146	0.022653	0.013286	0.007409	0.015887	0.012094	0.007097	0.013361	0.006972	0.007089	0.015495	0.00869	0.008203	0.009506	0.006286	0.002008	0.008189	0.002513	0.006019	0.008514	0.00421	0.010909	0.011618	0.006834	0.00924	0.004277	0.001945	0.006839	0.002343	0.002905	0.005545	0.004553	0.003462	0.001721	0.000332	0.004969	0.003911	0.003274	0.001149	0.005974	0.002518	0.00055	0.003709	0.00111	0.001311	0.001287	0.001288	0.002791	0.00227	0.001032	0.004025	0.003246	0.001056	0.000971	0.002354	0.00211	0.001668	0.002905	0.003054	0.001471	0.002786	0.000673	0.004887	0.000359	0.004168	0.001089	0.002797	0.002367	0.002279	0.000562	0.001689	0.001596	0.002678	0.001049	0.00156	0.00078	0.001201	0.005389	0.000359	0.0	0.00088	0.001348	0.00204	0.002008	-0.144198959753	0.0571171201734	3
Iran, Islamic Republic of	0.081362	0.041996	0.039667	0.043288	0.037049	0.043504	0.017403	0.024657	0.024146	0.010968	0.010588	0.01213	0.02058	0.020399	0.005285	0.008852	0.02041	0.006224	0.009858	0.014738	0.006637	0.002696	0.007013	0.006452	0.010795	0.002564	0.007366	0.010259	0.004769	0.001975	0.005719	0.002662	0.006632	0.001114	0.015672	0.002033	0.003846	0.00408	0.020727	0.008424	0.004065	0.003417	0.005609	0.001255	0.00373	0.002819	0.002143	0.002305	0.003397	0.001053	0.002153	0.00276	0.019563	0.002006	0.001445	0.00303	0.00319	0.002238	0.001087	0.018068	0.001398	0.001839	0.000703	0.000976	0.002749	0.001072	0.001386	0.002911	0.009249	0.001938	0.000412	0.012791	0.001995	0.001107	0.001874	0.002413	0.000291	0.001497	0.001487	0.001446	0.00156	0.000629	0.001588	0.000974	0.000872	0.001385	0.000758	6.8e-05	0.002763	0.000251	0.001102	0.001082	0.001007	0.001597	-0.135855588802	0.0195400963664	3
Falkland Islands (Malvinas)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
Togo	0.034118	0.048375	0.053716	0.029014	0.063315	0.016439	0.031264	0.007846	0.013239	0.018825	0.023034	0.018191	0.017848	0.017783	0.036923	0.014083	0.003124	0.012101	0.007043	0.000294	0.009186	0.022137	0.009208	0.011295	0.003668	0.016124	0.008014	0.007291	0.003896	0.007681	0.021776	0.007051	0.000117	0.002691	0.00703	0.000631	0.012869	0.00271	0.002119	0.000289	0.007776	0.006022	0.00347	0.001491	0.003324	0.006207	0.007496	0.003536	0.00098	0.006391	0.001931	0.003373	0.002171	0.003657	0.005214	0.001062	0.002781	0.001724	0.003562	3e-05	0.002821	0.001755	0.009816	0.005413	0.0	0.002513	0.001715	0.001585	0.001414	0.001405	0.001687	0.000277	0.001071	0.008165	0.000272	0.0	0.001435	0.001429	0.008196	0.001365	0.001041	0.001573	0.001018	0.001398	0.00168	0.000827	0.001696	7.1e-05	0.001227	0.001804	0.00105	0.001642	0.001685	0.000649	-0.100368499917	0.0779203173277	2
China	0.053485	0.049259	0.102301	0.03993	0.043725	0.017665	0.04763	0.017323	0.028031	0.012542	0.02279	0.024223	0.022554	0.016805	0.015867	0.013765	0.003003	0.010826	0.013005	0.001629	0.010338	0.008268	0.005034	0.00543	0.005281	0.005583	0.010275	0.004288	0.008157	0.01048	0.003404	0.003956	0.00251	0.003192	0.001961	0.00129	0.002971	0.003351	0.003334	0.000292	0.002269	0.007415	0.00243	0.001679	0.00255	0.003792	0.00599	0.003763	0.001678	0.002582	0.001868	0.003473	0.002882	0.001671	0.002717	0.002484	0.00137	0.001331	0.004485	0.003402	0.001991	0.003552	0.001916	0.00158	3.5e-05	0.004118	0.00191	0.002915	0.001846	0.001809	0.000775	0.003174	0.001022	0.00086	4.9e-05	0.000598	0.000922	0.001477	0.00121	0.001221	0.001373	0.003875	0.002274	0.001197	0.002626	0.001743	0.001817	0.000807	0.000411	0.000866	0.001545	0.001315	0.001435	0.001108	-0.125459645274	0.102035326766	2
Armenia	0.101317	0.052963	0.035167	0.057644	0.043549	0.048022	0.02029	0.030127	0.027204	0.020187	0.015007	0.013543	0.015307	0.013681	0.008131	0.011596	0.024803	0.007318	0.005574	0.016596	0.004873	0.004215	0.009006	0.008805	0.011833	0.008775	0.006382	0.011792	0.008791	0.002704	0.003694	0.004533	0.004506	0.002854	0.006875	0.00464	0.005612	0.004979	0.010026	0.012501	0.005565	0.002529	0.005904	0.001046	0.006073	0.003429	0.001584	0.002818	0.004734	0.001135	0.003671	0.003026	0.005501	0.001998	0.001773	0.003122	0.002969	0.003424	0.000893	0.010937	0.001071	0.001964	0.001607	0.00117	0.002757	0.00127	0.001097	0.003101	0.00542	0.002273	0.000788	0.002756	5.6e-05	0.001201	0.004209	0.00386	0.001168	0.001442	0.002184	0.001579	0.00152	0.000961	0.000489	0.000822	0.000641	0.001331	0.000772	0.001029	0.002292	0.001471	0.001176	0.001087	0.001036	0.001131	-0.163275041232	0.0133371916401	0
Dominican Republic	0.080672	0.057079	0.059705	0.056769	0.055221	0.021895	0.023211	0.031203	0.025385	0.022423	0.015779	0.022285	0.012906	0.005181	0.013662	0.014286	0.00939	0.009025	0.005975	0.005613	0.011862	0.007785	0.007179	0.007478	0.008369	0.005827	0.009506	0.005397	0.007933	0.004839	0.005434	0.006004	0.007085	0.003557	0.001741	0.007111	0.005495	0.005789	0.004592	0.001846	0.004925	0.004592	0.002863	0.004953	0.004488	0.004443	0.004287	0.003756	0.001992	0.003269	0.002065	0.000164	0.000432	0.002245	0.002759	0.002756	0.003183	0.001982	0.003127	0.000387	0.001156	0.002942	0.001925	0.001333	0.001738	0.002006	0.002321	0.002482	0.000546	0.001914	0.000874	0.000212	0.014552	0.001119	0.000727	0.001303	0.000572	0.001552	0.001682	0.000402	0.001484	0.001142	0.002332	0.00152	0.002053	0.001198	0.001031	0.000277	0.000502	0.00177	0.00125	0.000432	0.001373	0.000616	-0.150725532815	0.0495325731323	3
Ukraine	0.115791	0.060955	0.025536	0.077205	0.049345	0.033122	0.018026	0.043372	0.028626	0.027913	0.006597	0.011549	0.009481	0.005809	0.007305	0.012496	0.02678	0.007683	0.004265	0.024623	0.004764	0.003304	0.007886	0.009426	0.009001	0.003584	0.005033	0.006157	0.010428	0.00145	0.004389	0.003956	0.005625	0.010371	0.004924	0.007672	0.005416	0.005377	0.006279	0.012043	0.004689	0.003071	0.003564	0.003757	0.005457	0.00315	0.000783	0.003036	0.003537	0.001366	0.003761	0.001957	0.003169	0.001528	0.004951	0.003048	0.000962	0.002258	0.00107	0.001665	0.004268	0.002444	0.001016	0.000319	0.002966	0.001112	0.001073	0.002605	0.001374	0.002323	0.002695	0.002142	0.0	0.000473	0.006553	0.005528	0.000177	0.000852	0.001707	0.001173	0.001513	0.000627	0.000629	0.000817	0.000399	0.001013	0.000616	3e-05	0.000568	0.001424	0.001119	0.000582	0.000808	0.000527	-0.183324661823	-0.00330416100203	0
Finland	0.086685	0.025832	0.053784	0.037815	0.041852	0.029702	0.025221	0.02204	0.015447	0.007114	0.007173	0.018508	0.012116	0.006622	0.018689	0.006383	0.019438	0.006069	0.003139	0.027239	0.011135	0.008668	0.005995	0.007134	0.008387	0.002844	0.006281	0.004343	0.00471	0.003099	0.00293	0.003247	0.005042	0.00822	0.002301	0.002137	0.003375	0.004348	0.007961	0.016955	0.003221	0.00181	0.003661	0.00184	0.00379	0.00418	0.001746	0.002255	0.002983	0.002003	0.003716	0.002824	0.000458	0.000761	0.001518	0.003014	0.00156	0.001411	0.002108	0.000262	0.001175	0.002513	0.00047	0.002072	0.010202	0.001927	0.002101	0.00063	0.000183	0.001355	0.003578	0.000861	0.0	0.000416	0.003688	0.003375	0.000221	0.001449	0.000929	9.3e-05	0.001019	0.001374	0.002301	0.001424	0.000848	0.00132	0.000598	0.000192	0.001315	0.000373	0.000741	0.000617	0.001608	0.00057	-0.128550569694	0.0335202801022	3
Qatar	0.06997	0.070271	0.06543	0.051764	0.054789	0.02766	0.032431	0.024266	0.031417	0.025102	0.0239	0.020332	0.02108	0.020436	0.011824	0.016911	0.005724	0.011246	0.011965	0.002447	0.009617	0.006397	0.009694	0.008622	0.006749	0.007112	0.008819	0.00925	0.00693	0.006996	0.005084	0.006384	0.003511	0.003791	0.005806	0.004283	0.005502	0.003409	0.004479	0.001263	0.0062	0.005396	0.004219	0.003224	0.005052	0.003877	0.00467	0.003727	0.003202	0.003546	0.002205	0.003086	0.001729	0.002623	0.003139	0.002757	0.002795	0.002731	0.003118	0.002022	0.002103	0.002769	0.001183	0.002236	0.001207	0.002536	0.002182	0.002295	0.00201	0.002144	0.000975	0.000471	5.1e-05	0.001629	0.000307	0.000118	0.00169	0.001515	0.001298	0.002618	0.001462	0.002028	0.001853	0.001499	0.001637	0.001598	0.001984	0.001324	0.000996	0.000611	0.001406	0.001972	0.001353	0.001625	-0.150895576979	0.0653644862948	3
Indonesia	0.071207	0.068224	0.083251	0.056412	0.042916	0.009684	0.033428	0.027514	0.026352	0.021345	0.019322	0.018621	0.016337	0.015193	0.00728	0.018733	0.003743	0.009125	0.0184	0.001991	0.012153	0.004312	0.00517	0.005157	0.003816	0.017475	0.009893	0.002811	0.010461	0.008028	0.002944	0.005522	0.003742	0.005774	0.001967	0.002469	0.003192	0.004356	0.002688	0.000301	0.002333	0.004619	0.001657	0.001805	0.002969	0.004117	0.004563	0.003283	0.000343	0.002715	0.001838	0.002473	0.00044	0.003465	0.003189	0.001925	0.002893	0.001087	0.003523	0.000121	0.005102	0.003809	0.000983	0.00231	0.000109	0.002482	0.002032	0.004615	0.001143	0.001744	0.001911	0.00035	0.000224	0.000958	6.8e-05	0.00053	0.000877	0.001971	0.001419	0.001318	0.001477	0.001453	0.002437	0.001296	0.001482	0.001083	0.00128	0.001042	0.000437	0.001963	0.001274	0.000724	0.001308	0.000759	-0.146273046278	0.0750466609697	3
Central African Republic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
United States	0.070361	0.078451	0.040965	0.047994	0.050676	0.030948	0.011251	0.022744	0.019005	0.03493	0.019051	0.01535	0.01841	0.040939	0.026717	0.015963	0.004452	0.012425	0.018053	0.002964	0.016046	0.010626	0.008222	0.005629	0.004766	0.001114	0.006301	0.00781	0.006124	0.002293	0.004841	0.003966	0.000525	0.005162	0.001079	0.003491	0.0087	0.0034	0.000828	0.00027	0.005118	0.007006	0.004873	0.004926	0.004969	0.003447	0.000647	0.002807	0.005757	0.004854	0.000433	0.001557	0.000287	0.002979	0.001299	6.6e-05	0.001875	0.003285	0.002634	9.6e-05	0.000891	0.001633	0.001188	0.006537	0.000153	0.002146	4e-05	0.001483	0.002913	0.001278	0.001216	0.0	0.0	0.003965	0.0	0.000935	0.00359	0.000965	0.000593	0.0067	0.002297	0.000749	0.003597	0.002585	0.000198	0.000606	0.002561	0.003951	0.001094	0.0	0.000646	0.001484	0.00044	0.001962	-0.145835205492	0.0441613206862	3
Sweden	0.069115	0.049625	0.072921	0.034215	0.047945	0.043653	0.031589	0.016144	0.021991	0.013808	0.024033	0.022922	0.029726	0.025811	0.011036	0.012505	0.010053	0.008141	0.014038	0.004496	0.01227	0.0065	0.006338	0.007457	0.00999	0.005611	0.008668	0.009349	0.005428	0.0068	0.003108	0.006405	0.003881	0.004005	0.002076	0.005082	0.003967	0.00359	0.005258	0.006104	0.002896	0.003717	0.006317	0.004664	0.003495	0.005367	0.002929	0.003286	0.005119	0.001846	0.002214	0.003461	0.000246	0.000928	0.003956	0.002973	0.001318	0.004996	0.005284	9.3e-05	0.000608	0.002122	0.001789	0.03857	0.002117	0.002994	0.00216	0.00222	0.001408	0.00159	0.001697	0.000287	0.0	0.001356	8.5e-05	0.0	0.002484	0.00328	0.001248	0.001662	0.001514	0.001557	0.002616	0.001489	0.001389	0.001741	0.001182	0.00306	0.001692	0.001653	0.001086	0.00132	0.001713	0.002448	-0.135559503504	0.069105096255	3
Belarus	0.11879	0.057423	0.026421	0.078773	0.045869	0.029168	0.018749	0.044331	0.026539	0.026734	0.00639	0.011458	0.00886	0.004985	0.00858	0.011873	0.024716	0.007805	0.003156	0.025795	0.003974	0.003192	0.007536	0.008847	0.009024	0.003696	0.004937	0.005375	0.01019	0.001245	0.004589	0.00241	0.005498	0.013261	0.00539	0.007686	0.004641	0.005284	0.005835	0.010136	0.004251	0.00335	0.003115	0.00115	0.004733	0.003022	0.000772	0.003078	0.002764	0.001171	0.003549	0.001838	0.004043	0.001238	0.004196	0.003029	0.000934	0.002246	0.001066	0.001694	0.005358	0.002512	0.001019	0.000516	0.002922	0.001234	0.000758	0.002543	0.001231	0.002148	0.003011	0.002349	0.0	0.000355	0.006372	0.006009	0.000177	0.000866	0.001703	0.00088	0.001521	0.000676	0.000459	0.000617	0.00045	0.001125	0.000583	3.2e-05	0.000286	0.001493	0.001048	0.000553	0.000853	0.000536	-0.18213513672	-0.00383311849684	0
Mali	0.069717	0.046598	0.051094	0.039738	0.040907	0.045697	0.030688	0.015744	0.021624	0.014052	0.046208	0.016465	0.023358	0.02693	0.027019	0.010199	0.008138	0.011588	0.016503	0.00236	0.005588	0.013516	0.009197	0.009152	0.009609	0.008294	0.007761	0.016306	0.006279	0.010182	0.005147	0.007434	0.002717	0.003184	0.005168	0.007369	0.004933	0.004744	0.003977	0.001053	0.00472	0.003795	0.005421	0.005025	0.004089	0.003727	0.004398	0.003086	0.011065	0.002277	0.002535	0.001532	0.002213	0.000433	0.001731	0.002964	0.001513	0.010128	0.001416	0.000908	0.000967	0.001846	0.000754	0.000546	1.1e-05	0.002401	0.000501	0.001299	0.003003	0.001701	0.001491	0.000275	0.000262	0.00103	0.003797	0.000192	0.009828	0.001102	0.001308	0.001134	0.001765	0.001819	0.000779	0.000569	0.001634	0.002019	0.00238	0.005674	0.001285	6.2e-05	0.001018	0.001652	0.001089	0.001965	-0.130694023653	0.0620012422207	3
Bulgaria	0.107013	0.043302	0.036191	0.06656	0.045057	0.034729	0.019187	0.045554	0.025116	0.015623	0.012658	0.015362	0.010444	0.005121	0.012097	0.010123	0.035918	0.00978	0.003572	0.034897	0.007109	0.006259	0.008461	0.007653	0.009046	0.003463	0.006076	0.007217	0.007385	0.003659	0.003144	0.004981	0.014389	0.008591	0.002819	0.003409	0.004597	0.006687	0.007332	0.018575	0.006043	0.002677	0.004126	0.001573	0.005056	0.003464	0.002356	0.003034	0.003309	0.002989	0.00349	0.001665	0.001472	0.002337	0.001717	0.003089	0.00059	0.001543	0.001471	0.00071	0.002309	0.001786	0.000577	0.000969	0.00788	0.001416	0.001762	0.001864	0.000469	0.002108	0.002724	0.001643	9.7e-05	0.000773	0.006862	0.007951	0.000661	0.001238	0.000201	0.000479	0.001547	0.00095	0.001539	0.001311	0.000899	0.001145	0.000808	0.000828	0.00122	0.000618	0.001081	0.000387	0.001207	0.000474	-0.169275884192	0.00709102072178	0
Romania	0.090764	0.067416	0.031862	0.064321	0.062922	0.036531	0.021313	0.033681	0.030983	0.025169	0.012405	0.013792	0.013954	0.015454	0.009931	0.015987	0.019604	0.008156	0.006867	0.014616	0.007361	0.005095	0.014674	0.011521	0.009289	0.007143	0.005846	0.009547	0.009059	0.002982	0.00614	0.004059	0.007924	0.004584	0.007605	0.006478	0.006776	0.005579	0.006257	0.008823	0.00974	0.003763	0.004809	0.001699	0.006031	0.003745	0.001742	0.003057	0.003944	0.003707	0.003794	0.00266	0.001953	0.003677	0.002447	0.00307	0.00288	0.002445	0.001552	0.00056	0.000798	0.001419	0.00204	0.001862	0.002696	0.001264	0.001854	0.002409	0.000573	0.00253	0.001584	0.001423	0.0	0.001697	0.005111	0.003182	0.000709	0.001142	0.001798	0.00224	0.001538	0.000829	0.001357	0.00147	0.000581	0.001035	0.001294	0.000716	0.00137	0.001473	0.001306	0.001624	0.001024	0.000599	-0.169087222273	0.0194286316118	0
Angola	0.049619	0.048681	0.092627	0.039373	0.053494	0.008757	0.041324	0.021775	0.031219	0.014592	0.030904	0.031384	0.017809	0.008338	0.031627	0.015249	0.006407	0.013079	0.008973	0.003876	0.017912	0.017143	0.005227	0.006233	0.00513	0.003519	0.011068	0.002561	0.006116	0.011907	0.002444	0.007514	0.006907	0.00348	0.000541	0.000394	0.001589	0.004249	0.00098	0.001837	0.002194	0.004789	0.001198	0.004983	0.001423	0.005624	0.007556	0.00384	0.000457	0.002911	0.002558	0.0001	0.000421	0.002741	0.002282	0.000501	0.001637	0.000472	0.004646	0.000164	0.001363	0.003661	0.001406	0.005141	0.001324	0.003243	0.002282	0.000727	0.000653	0.001955	0.000488	0.00032	0.00063	0.000487	7.5e-05	0.000594	0.00151	0.001675	0.000887	0.000969	0.001022	0.002573	0.00365	0.001453	0.003131	0.001329	0.001445	0.001383	0.000742	0.0	0.001488	0.000922	0.001823	0.000514	-0.123275048046	0.105000384241	2
