	Brazil	Canada	Italy	Bangladesh	India	Korea, Republic of	Lithuania	Costa Rica	Morocco	France	Syrian Arab Republic	Netherlands	Slovakia	Ireland	Argentina	Norway	Ecuador	Czech Republic	Israel	Australia	Lebanon	Singapore	Iceland	Iran, Islamic Republic of	Macedonia, the Former Yugoslav Republic of	Slovenia	Guatemala	China	Bosnia and Herzegovina	Armenia	Puerto Rico	Belgium	Thailand	Germany	Hong Kong	Poland	Spain	Moldova, Republic of	Ukraine	Georgia	Chile	Denmark	Philippines	Indonesia	Saudi Arabia	Turkey	United States	Russian Federation	Serbia	Belarus	Croatia	Finland	Japan	Switzerland	New Zealand	Taiwan, Province of China	Nepal	Bulgaria	Romania	Peru	Portugal	Estonia	Uruguay	Kazakhstan	Sweden	Mexico	Viet Nam	Azerbaijan	Venezuela, Bolivarian Republic of	South Africa	United Kingdom	Malaysia	Austria	Latvia	Tunisia	Colombia	Greece	Paraguay	Hungary	Montenegro	Cyprus
dance	0.21407663547	0.206332127214	0.169521324864	0.203402650217	0.251994694015	0.247153171302	0.226779745572	0.170606038477	0.238178528347	0.228334830509	0.220026102845	0.244612862374	0.206577584733	0.223975759729	0.163282162285	0.278147601051	0.213900785435	0.198525583817	0.153299181225	0.218774898381	0.233816800302	0.208947311811	0.188049692733	0.202505262719	0.186511489108	0.177638076426	0.214873641566	0.142488811053	0.200593694883	0.1812702828	0.229731936873	0.232830289131	0.217672994877	0.226941866625	0.144704839641	0.220816529974	0.19108753886	0.209749898707	0.151754473658	0.183029801325	0.231688690578	0.209433286237	0.162014134276	0.141425624184	0.234234234234	0.179475110093	0.17849436586	0.158536973906	0.203668040352	0.150975768418	0.171703770074	0.250107674393	0.133608370557	0.23374977548	0.257032866465	0.16438667672	0.118817763256	0.225666893006	0.183041134476	0.215180202886	0.166523351178	0.246328959944	0.193786380031	0.198699069321	0.21421817794	0.21845542402	0.183002374336	0.212808419798	0.258204389271	0.184341525471	0.249506118237	0.190315573605	0.19161861521	0.219915643865	0.189536355992	0.225682604632	0.167992078795	0.201658267206	0.255907516297	0.202021805864	0.240227897039
indie pop	0.149235440588	0.271786326414	0.183681185723	0.182283429761	0.185996555069	0.192653990174	0.20135694687	0.154053374228	0.24861278649	0.234808826111	0.165878360741	0.181233617702	0.181009260097	0.211559529802	0.13666657173	0.207310990466	0.129699574885	0.175070652982	0.17562064889	0.0556170747188	0.225830149868	0.249097278776	0.235327089469	0.112747243586	0.17328160748	0.183744207248	0.131125008038	0.131007978206	0.167834459362	0.131200741771	0.233488495539	0.195347694324	0.219259012545	0.186181796778	0.135388325501	0.161285060492	0.26758885136	0.140972043169	0.131302275984	0.182853890728	0.180178479492	0.112619403338	0.196113074205	0.176305358571	0.253909772499	0.20563592431	0.285183409254	0.121634753242	0.184389873973	0.125345584648	0.14640912537	0.0950964284005	0.0525170781053	0.2248887381	0.246180168709	0.175607099685	0.14147565061	0.138257832961	0.300641056772	0.182266397833	0.224145423613	0.223158687404	0.118901546263	0.149009576062	0.188454839512	0.217351427552	0.14547120746	0.15796058184	0.190175127466	0.206816128616	0.184205612069	0.187347373818	0.194188422247	0.226052452725	0.158404453766	0.161888644726	0.176090468498	0.182219514704	0.194391478402	0.218863131153	0.171105911079
rap	0.189340660198	0.285307560465	0.134272912886	0.195269294618	0.200914688471	0.187133333846	0.137301072587	0.121937959965	0.34783876156	0.233022540243	0.137781258157	0.167155885847	0.146090348787	0.157996032334	0.0784440773547	0.250541945633	0.108649272247	0.114216123754	0.189623013267	0.214379279145	0.197546282692	0.166461793765	0.283990501717	0.102596969507	0.168219547509	0.152539314746	0.129404861424	0.103695055242	0.204641614542	0.161685258248	0.293777178906	0.158059628143	0.150703398836	0.254654790167	0.111282875752	0.192133762291	0.0772180363558	0.196213488526	0.138441800793	0.20292839404	0.131825982495	0.179309505621	0.12562426384	0.0929344328359	0.243973239207	0.0835346910597	0.328163325526	0.140050020709	0.153277388068	0.139762563018	0.146503894135	0.296806457273	0.0548144717518	0.160247071267	0.281841874901	0.0913312508228	0.116061851247	0.253467843632	0.385653926473	0.100064583202	0.121938365094	0.212210733629	0.109495411206	0.207938538178	0.132037109444	0.0937547769078	0.106601129446	0.163957702428	0.182504987808	0.143061265879	0.180008845644	0.149307195186	0.159881952327	0.176048454804	0.236944608217	0.124599025031	0.093136692897	0.122344675902	0.170072577344	0.145210119615	0.153983111202
jazz	0.147658707547	0.160797943249	0.205336887477	0.0667662053181	0.126324021462	0.230645024874	0.147089049638	0.100046250091	0.218858061922	0.261427583145	0.185257113025	0.194761591549	0.171568183875	0.157561760381	0.130585856284	0.152934179984	0.108293692811	0.126329391641	0.152414729191	0.0180821325843	0.335869610848	0.147431662083	0.247719698745	0.163946726693	0.324237098931	0.180031147915	0.109623175358	0.111451644289	0.159449482926	0.222635368473	0.17818133562	0.23416127447	0.141242803445	0.122231160117	0.108721864952	0.141954778196	0.143308934859	0.117416847766	0.106234796228	0.202359271523	0.10356958984	0.184650122023	0.0654358068316	0.163920917615	0.120457922174	0.34281022165	0.166958670675	0.103131869882	0.241475997086	0.0946251422996	0.14922634227	0.0729314552792	0.209440642539	0.224439699044	0.113033184784	0.166235802425	0.0910606135617	0.14715297313	0.380639599825	0.072719110327	0.197340804231	0.120678502814	0.102781844802	0.0947255928238	0.133814381687	0.0817891536593	0.101275238475	0.177153353522	0.0944180891155	0.105348549936	0.155673497469	0.0997180210203	0.114451759364	0.138667892696	0.357132501474	0.120465088867	0.279201625932	0.0730238850606	0.171809641706	0.358018418546	0.263007427002
acoustic	0.127543652869	0.149676252142	0.152506805808	0.224158423622	0.198944742521	0.14125345041	0.150082314792	0.0885080694238	0.182790510655	0.155055808527	0.229444009397	0.233185749487	0.140198473743	0.156189855802	0.0806300019937	0.213766378268	0.0949555130616	0.129406514949	0.132650291169	0.202022930143	0.206771336216	0.205651419001	0.159575227011	0.227245253132	0.131116195276	0.129615209299	0.0886357790496	0.117510972736	0.122863999537	0.146386231822	0.107929605357	0.174717421574	0.16311398709	0.196707802782	0.113689298376	0.131360732249	0.129422410163	0.105777376699	0.101236295778	0.111599751656	0.0907585378411	0.120454560819	0.16714958775	0.17454302676	0.213974699199	0.268030669135	0.137792080851	0.0910966323637	0.130676432142	0.0961945031712	0.1150578951	0.0635996745841	0.0710729498656	0.237980721257	0.151957663537	0.16927578902	0.213294387511	0.113037152003	0.254722937206	0.0836982546783	0.121910626612	0.133673163997	0.0885619397922	0.107221595786	0.138015853268	0.0795386993223	0.162740185781	0.124966489599	0.109917978275	0.173684986818	0.146582141629	0.186308503892	0.176472190692	0.149922040539	0.157795540435	0.0881176698408	0.124644327479	0.0791949176009	0.133055136819	0.167227691331	0.179021263608
ambient	0.0229562963946	0.130470386593	0.162810042347	0.179434790723	0.221376388366	0.118671044234	0.198084310302	0.0755742719668	0.16402291918	0.139154766699	0.282589402245	0.114644178946	0.237404357574	0.168902180243	0.0530460539432	0.128561014445	0.0460356843719	0.187128142198	0.118481544726	0.0216810036326	0.297006842702	0.12144865629	0.214200544215	0.40240521895	0.330979143871	0.173022867128	0.0592084110347	0.100078917213	0.149454976532	0.187107944708	0.148884261244	0.168195593415	0.112353491618	0.11815024819	0.0851007914915	0.140106031084	0.118286313262	0.206609819883	0.147389116598	0.301924668874	0.0579457696928	0.0638237461382	0.0362603062426	0.0562141744408	0.149451644209	0.205709145302	0.132406912196	0.128277630866	0.167985471527	0.134574727598	0.106726859191	0.0731787075883	0.0745891199824	0.140878519967	0.140557854528	0.127218651634	0.0880819182468	0.119322921719	0.392355883638	0.0367021611745	0.177886882472	0.159005995308	0.043673892083	0.129764890018	0.0689083993886	0.0706387893405	0.11013585485	0.258342848632	0.0674174240745	0.130892899943	0.121028060347	0.0890594854221	0.119954597049	0.186652940471	0.299063433305	0.0569489698837	0.263880348116	0.0402224736347	0.20051113618	0.19407219223	0.168765896836
hard rock	0.137940724204	0.113730717958	0.143980641258	0.255208589138	0.196430339147	0.0704152794544	0.190022449489	0.166613925335	0.107669883394	0.10688804221	0.160104411381	0.122556767423	0.17910897958	0.109081218725	0.126399134174	0.144378153356	0.141165036269	0.173183474639	0.151083672665	0.0791278983403	0.126464044331	0.0450361856763	0.0984988229059	0.201661143417	0.164373266134	0.161912178075	0.171154588129	0.0305398802188	0.170349952292	0.177674964283	0.156203425818	0.118304119912	0.0615533457043	0.154181953737	0.0209209333004	0.180044406181	0.132549117982	0.202650189694	0.195133126729	0.145726407285	0.12737257594	0.08071767068	0.03308598351	0.0467108151837	0.0748374685458	0.147216033305	0.0869833834351	0.170731513047	0.170719538601	0.18392421532	0.168981321938	0.185774218762	0.0720235955125	0.114325343764	0.115967690594	0.0233564324441	0.244426291731	0.267426520516	0.0436841338449	0.10157677525	0.121540780191	0.141174539732	0.131050244617	0.153721873475	0.10445384424	0.119375987228	0.046106148875	0.184947624485	0.139241853248	0.155653680931	0.119121332744	0.0563755582239	0.132730987514	0.18735257666	0.113944115288	0.148510183291	0.188128615353	0.16620647642	0.158472182012	0.105049221975	0.202665581443
experimental	0.0670814046974	0.167510950295	0.170012855414	0.110664715185	0.131135045239	0.114519018584	0.180573709154	0.0963543568397	0.159117410535	0.149149707276	0.138209344819	0.105769513955	0.185724771011	0.173590343371	0.0877075560366	0.119045792008	0.06803419884	0.142440130894	0.16453434914	0.153488811765	0.198889635196	0.100759054102	0.252448457548	0.161529002272	0.282303789913	0.191768593786	0.0635891582535	0.0635499772978	0.157329144058	0.117197922284	0.171729854433	0.172782373659	0.0963029928153	0.0963526849654	0.0644065875175	0.122823870588	0.123554233598	0.140806291208	0.132310306908	0.316866721854	0.101604599279	0.0652231228409	0.0437985865724	0.0449544981565	0.113518666426	0.161776550454	0.182026077495	0.116441520375	0.168693934163	0.118702228005	0.127972293059	0.0718945907575	0.0909451002139	0.122497854591	0.178338373389	0.0706557514392	0.0757628265426	0.0902803375691	0.359902384537	0.0766649864533	0.247353286548	0.178739344088	0.0613148591222	0.101920261196	0.0651050367895	0.121184842978	0.056406838563	0.153145013156	0.0965905564176	0.12697505485	0.128369944469	0.0638365331426	0.121071509648	0.166843241514	0.248649275586	0.0840679278961	0.235853874616	0.0771853762352	0.159410596093	0.205229173283	0.111150676569
classical	0.041104337577	0.0849742906113	0.155257486388	0.145103778867	0.190372012909	0.137332092852	0.10555250686	0.114594743718	0.184509449136	0.149129056573	0.376966849387	0.132049910173	0.198383253401	0.12957095905	0.075239953291	0.136359276383	0.0782511813139	0.161971961922	0.0869302508866	0.00338280374337	0.237626464044	0.104907730367	0.183494185869	0.47873027783	0.190932502183	0.116263389805	0.112026557778	0.134580873927	0.114662143277	0.260670053835	0.114799616178	0.144422147596	0.0662955385323	0.135366595382	0.0927322945008	0.120213874666	0.180775674392	0.151884047295	0.0947882301976	0.21684602649	0.0643813282993	0.064668780379	0.0315959952886	0.0307054740552	0.136835596321	0.301733245468	0.0870294893311	0.092347150094	0.118931917739	0.0877459749553	0.0798125301537	0.0775415144603	0.0398113334024	0.156475143194	0.0525326277256	0.178365827678	0.0891958347773	0.129343292269	0.00229469185567	0.0508238296264	0.128595600677	0.0825344416447	0.0725636538942	0.120289806291	0.075271034017	0.0840141311548	0.163156735913	0.225616839597	0.0593393925959	0.0898984125814	0.0884171212345	0.0855448670381	0.132531214529	0.116269539839	0.173095696046	0.0846741262745	0.212131950597	0.0703497709598	0.185786021623	0.140150312268	0.192664564045
house	0.0812095571878	0.111007427157	0.0832009981851	0.115055548461	0.154853590449	0.0965499742421	0.146859565977	0.076864406092	0.167330116606	0.137616289275	0.098136256852	0.157319144341	0.117736956937	0.110877525439	0.0695366124576	0.179216145184	0.119735448899	0.116335713223	0.065055387714	0.174204264628	0.143875152177	0.128977735437	0.0966847731928	0.104962587799	0.086364490423	0.0969193952746	0.134685872291	0.0671607100387	0.108310764575	0.104935993869	0.121271513444	0.136415758866	0.118879954323	0.141036708588	0.0754957127546	0.124373555666	0.0947329755687	0.129065527275	0.0902479256223	0.103828642384	0.091436416681	0.0827457528579	0.0726383981154	0.0756419278587	0.128084232946	0.116588738612	0.0944894233075	0.0842625927932	0.102677190497	0.08376158725	0.0830605141636	0.120730909729	0.0381781729322	0.150138703175	0.167266831132	0.0951432025182	0.0604155321221	0.128256862935	0.114503909475	0.0915821309306	0.0884025408449	0.164924069086	0.109602542585	0.106304380754	0.106060498347	0.10299437811	0.0808047748547	0.131052971256	0.117747727777	0.112197865005	0.117116320212	0.106335757363	0.123359818388	0.147093511374	0.0986922861313	0.124102279138	0.0819219344416	0.102130588542	0.160349010173	0.122758547687	0.15817478889
