	Brazil	Canada	Italy	Bangladesh	India	Korea, Republic of	Lithuania	Costa Rica	Morocco	France	Syrian Arab Republic	Netherlands	Slovakia	Ireland	Argentina	Norway	Ecuador	Czech Republic	Israel	Australia	Lebanon	Singapore	Iceland	Iran, Islamic Republic of	Macedonia, the Former Yugoslav Republic of	Slovenia	Guatemala	China	Bosnia and Herzegovina	Armenia	Puerto Rico	Belgium	Thailand	Germany	Hong Kong	Poland	Spain	Moldova, Republic of	Ukraine	Georgia	Chile	Denmark	Philippines	Indonesia	Saudi Arabia	Turkey	United States	Russian Federation	Serbia	Belarus	Croatia	Finland	Japan	Switzerland	New Zealand	Taiwan, Province of China	Nepal	Bulgaria	Romania	Peru	Portugal	Estonia	Uruguay	Kazakhstan	Sweden	Mexico	Viet Nam	Azerbaijan	Venezuela, Bolivarian Republic of	South Africa	United Kingdom	Malaysia	Austria	Latvia	Tunisia	Colombia	Greece	Paraguay	Hungary	Montenegro	Cyprus	PCA1	PCA2	PCA3	PCA4	PCA5	PC1_sum	PC2_sum	clusters_kmeans
dance	0.406402277075	0.338754115211	0.21135469867	0.218953887401	0.178264978995	0.673441095066	0.780936138671	0.335725750376	0.348269417027	0.375366862937	0.284025333316	0.34735879174	0.643199992059	0.402616877792	0.463863905551	0.388940405392	0.456482557687	0.713376862161	0.211642860539	0.212496233606	0.154565486467	0.61612483369	0.398661545587	0.279128911076	0.269938805988	0.223127591612	0.44053377778	0.566631818975	0.209624354493	0.123713393218	0.353383213896	0.397176313664	0.610293930932	0.776711676385	0.588737829594	0.795315149259	0.354757175419	0.284233649073	0.27914937466	0.234858472834	0.444996774176	0.612879336875	0.610018094296	0.511834470087	0.620532022689	0.342308324699	0.342162536805	0.299202714473	0.236005418545	0.298153660998	0.216697284916	0.217651394123	0.401770153588	0.334913950213	0.849661143122	0.603055619566	0.188636260189	0.252663475872	0.116601896817	0.469748306144	0.26156194315	0.843083846685	0.438635097284	0.33101995428	0.620711398406	0.427600294036	0.66119776546	0.154597425135	0.450804375712	0.727722546492	0.386045050666	0.638620989196	0.746833356055	0.767865365651	0.239638404325	0.434010011016	0.26498958173	0.433398596884	0.848532415428	0.267854274079	0.795078739353	0.0266757611439	0.0790806357438	0.302611669038	0.121801196093	0.198947778817	4.00137550023	-0.858318051695	5
indie pop	0.330926399986	0.413478215905	0.236655448267	0.227441294237	0.159336127434	0.572134348647	0.786588037018	0.351068329355	0.374804286766	0.401630882054	0.271096348788	0.31367097122	0.660724248148	0.413739228089	0.456054280211	0.335814063819	0.367103468791	0.727319649297	0.241755789435	0.0812456058736	0.16366990196	0.691793357533	0.457214783051	0.256884562988	0.284739601549	0.243563839354	0.352842216511	0.558171774178	0.210647958379	0.11972697313	0.387293545676	0.391937775955	0.625460462075	0.752164352902	0.57533708756	0.721694726827	0.440099122541	0.260534668775	0.290135881065	0.25382270779	0.398940887395	0.402973383792	0.693339844288	0.621193761244	0.660638196743	0.394030321724	0.453422400114	0.296112636443	0.243452381096	0.304834616944	0.220993636998	0.0946845954337	0.30843617628	0.348068985213	0.859276610322	0.639239667063	0.236704724712	0.218417188159	0.227289978643	0.441148880531	0.303035361702	0.833303974199	0.347609282327	0.314696205322	0.571880487434	0.442920783008	0.579963701599	0.146290800544	0.377671760337	0.828705573991	0.351422237459	0.642181431146	0.808254976882	0.826693618274	0.243171898585	0.37263342681	0.288236944475	0.427288345137	0.77769641214	0.290183206426	0.723992399157	0.00733189630313	0.131597088979	0.174694515008	0.165278848358	0.0916856616884	3.96801838167	-0.94444102215	5
rap	0.362876693891	0.402766337966	0.213018185909	0.226771610772	0.159352478007	0.53620779243	0.672850147755	0.303634276127	0.422052811172	0.387677829743	0.246041958051	0.294832674607	0.600500606538	0.37118489871	0.385276386905	0.352438061005	0.336557957964	0.621653850343	0.241364809926	0.187963364023	0.147958788082	0.543819168686	0.471157675802	0.251917654172	0.280154406711	0.22684590089	0.34205319431	0.475344967589	0.219653002853	0.128436513662	0.419618158946	0.361655422234	0.50395832497	0.832988585882	0.491089619938	0.751926474956	0.289919236675	0.282991188969	0.289530589418	0.255911139554	0.33698438468	0.509982252599	0.526700209942	0.429860217366	0.615675022502	0.316113112839	0.460325022084	0.301984121772	0.227874154777	0.308295792141	0.216837736654	0.22661358545	0.312912803642	0.292114442152	0.874697315414	0.454388610934	0.216767163908	0.270083482337	0.254744477886	0.340488926684	0.259426164432	0.786218579643	0.326971610403	0.338387242555	0.448321485213	0.300952793019	0.484661368804	0.144880912931	0.353487474336	0.706706829179	0.339515592243	0.55558331036	0.729437335942	0.731748188602	0.266866438195	0.322318868604	0.259137536885	0.347798708393	0.721841388557	0.261786595096	0.682955899881	0.0948586833734	0.131516794118	0.227969109945	0.325582848986	0.127223672884	3.64754853316	-0.703859183899	2
jazz	0.341263417757	0.340737032415	0.247673802505	0.187131594144	0.146909497441	0.612719013971	0.735807136443	0.31390355344	0.355907255436	0.415959196192	0.297591779655	0.331401588223	0.671660973715	0.390289926994	0.460259449149	0.307720807789	0.366036318173	0.687305477288	0.237543570108	0.0812456058736	0.195834195225	0.547898292607	0.463336933563	0.291901165012	0.329396953557	0.24673313735	0.352254117758	0.52088701622	0.214621637919	0.158228856172	0.34854338742	0.418625034998	0.523694491036	0.690063433188	0.514913919845	0.720613541632	0.355412943374	0.262053535661	0.289356134722	0.265182416283	0.342206122372	0.540322505471	0.462136769957	0.580727642885	0.507098779036	0.466247157169	0.373033628685	0.298452070788	0.265310227083	0.301794176205	0.228921455335	0.101118822127	0.519160532795	0.349509438769	0.692098666691	0.605029448948	0.221614484091	0.235305543459	0.258850909698	0.347413571095	0.294137785961	0.707357983301	0.349120416841	0.299146536224	0.484987641922	0.324705261947	0.509107586397	0.159680053399	0.303553807281	0.705746383163	0.345059788945	0.517219399737	0.713482418713	0.730683157323	0.309709912346	0.348339125342	0.321529536863	0.332425506012	0.767925269683	0.329196441762	0.864078365441	0.100038650636	0.239758378066	0.0754336738413	0.181571698263	0.188348421436	3.73531968854	-0.72455499192	2
acoustic	0.317111759323	0.329395071439	0.229090786691	0.264037601064	0.172210426558	0.508606318975	0.723598584979	0.276565226493	0.338714891095	0.356546784849	0.336747397328	0.373104575937	0.617987152253	0.385239582854	0.395664059664	0.358510724725	0.333483122012	0.669122491557	0.22718824814	0.212496233606	0.164114029152	0.659443779917	0.418579277462	0.323327141016	0.273626512585	0.225067605826	0.308587695301	0.554562043196	0.195280058017	0.131465751472	0.269232097006	0.388803909631	0.564145354168	0.804971873865	0.549571550973	0.685653320489	0.338690278103	0.244744689847	0.27645779209	0.229517360319	0.304698820249	0.443346086645	0.671848760742	0.659777604915	0.637295290394	0.453616570854	0.349612049614	0.280992549209	0.225986199626	0.291366609856	0.210383001269	0.0719363025395	0.343860705646	0.377116847475	0.724807879375	0.665223962694	0.298784944937	0.208593560209	0.21541591287	0.331062206786	0.265055760676	0.699554394709	0.314819040438	0.295116658229	0.501895812148	0.291038925397	0.653237511368	0.136868222074	0.29573817044	0.800523498844	0.332782257258	0.676091158387	0.807284082812	0.728145187858	0.248626190929	0.293036889952	0.272999634009	0.309037944434	0.695376418798	0.276958931183	0.764310355605	0.00999414020038	0.252179022372	0.282354079642	0.197955639722	0.0840659565225	3.70953084649	-0.91571694628	2
ambient	0.217706083141	0.319970610772	0.231977596658	0.229910707028	0.171430812232	0.468829518672	0.785578943195	0.287912474252	0.321826897473	0.352073895685	0.344285508079	0.282524435222	0.72968385567	0.391912268244	0.390092782671	0.289746672657	0.309018998388	0.74997262951	0.224160884348	0.0822390089933	0.181538641758	0.51183641418	0.443527056392	0.369918597329	0.327463648935	0.242056740093	0.304945420166	0.492684992979	0.20921046052	0.144533248326	0.321976475812	0.382638522245	0.484929758755	0.676945791827	0.462845802838	0.708654421849	0.337398546822	0.294722157198	0.304246805451	0.288968026065	0.301863509223	0.347782280941	0.41432578116	0.405066493745	0.529031550735	0.396271833635	0.350057451489	0.306987931952	0.241542118112	0.316404650577	0.212381722626	0.0989667788566	0.365310810019	0.299167286812	0.716942682527	0.536819816371	0.217953891468	0.221449667027	0.256504903914	0.314170983588	0.285830579438	0.745367575249	0.287223494066	0.311277884792	0.390060659251	0.312115748041	0.514674025265	0.179758430642	0.277919008308	0.729564532023	0.323095218798	0.498007534456	0.712772791123	0.775130630376	0.288501773528	0.291473397585	0.314443234378	0.301266184283	0.790717698451	0.28405279247	0.740856579149	0.183581457025	0.29670926348	0.123215447687	0.205284145463	0.087057832152	3.51968087924	-0.723734376056	8
hard rock	0.358724393559	0.323470640141	0.236691559258	0.289416901224	0.179246790357	0.42485974161	0.834284204084	0.407069097843	0.302810689152	0.345807442814	0.29984408958	0.30096665583	0.717616326343	0.373200986298	0.478697274739	0.31788303976	0.419639850656	0.786677851249	0.247109504626	0.122201853628	0.143414551643	0.430332329422	0.399939664909	0.320180298246	0.29739618218	0.250923843221	0.439289161624	0.376605424889	0.228716953989	0.155707803705	0.353248465374	0.370310036	0.437642919588	0.768241874845	0.342525130171	0.825881289861	0.362845669837	0.315522792493	0.347619995225	0.256413562761	0.380352013766	0.397413730868	0.410481936972	0.39872847797	0.467363999909	0.384935389783	0.333125663809	0.345922866356	0.254465163593	0.358913333398	0.248079420357	0.188985847578	0.378103920928	0.297011697211	0.715312674194	0.380470472921	0.323863550157	0.310829169102	0.109916754055	0.385993040483	0.27730646221	0.76357261019	0.40422123267	0.337344304476	0.469909168421	0.37275019344	0.428722367174	0.172938818957	0.362083634765	0.806599736751	0.33481512078	0.467291024942	0.767438772157	0.829904602411	0.242134046156	0.3973671185	0.307751158806	0.445983442403	0.78713682824	0.266228235539	0.843519768639	0.289050743333	0.0848436100353	0.203191826781	0.0831199751198	0.0929870814465	3.72540143567	-0.557008120563	2
experimental	0.230719009053	0.345040365972	0.237496078587	0.193347787724	0.142635896759	0.459628327792	0.779764643726	0.291134604168	0.319394238251	0.353283291882	0.260234408816	0.263228510409	0.692078093955	0.398756677706	0.407948078443	0.274659181345	0.301851373254	0.695634865391	0.243578279802	0.167830826972	0.160382830893	0.477354744425	0.481901698202	0.287726740774	0.32968077732	0.254261134232	0.279907817874	0.411481628542	0.212421388922	0.118610119808	0.341864165144	0.387589039214	0.450790826124	0.6108834374	0.409053352901	0.671396207855	0.334968979462	0.267852535885	0.298111630664	0.314857956128	0.321913959084	0.316621730101	0.386679688575	0.346910935882	0.482947149149	0.375320874506	0.387248125361	0.299696040304	0.243428503637	0.307567925834	0.217990431302	0.0824571597812	0.379734068048	0.279281905665	0.774200464959	0.435548609868	0.198814031204	0.196790617151	0.280416547538	0.325993683115	0.321449408896	0.785778735383	0.277561530225	0.293212478381	0.351307708894	0.346877573168	0.406564555427	0.150059714079	0.282543149354	0.712863892851	0.319440667147	0.4393006924	0.699235979393	0.758872681111	0.288885732494	0.292142227537	0.317044051488	0.310760674139	0.745335011355	0.291995024433	0.643436264416	0.173573831701	0.206520176067	0.0362111499186	0.323340956226	0.149998265629	3.41044585299	-0.603805622717	8
classical	0.246644465881	0.299611416752	0.227379955862	0.214584117574	0.158866617243	0.480443607047	0.684884728418	0.319694862771	0.325964787396	0.354910737874	0.365743786506	0.291116185575	0.674348623688	0.372594868639	0.411412432945	0.292301392376	0.340136418329	0.709673433359	0.215702875002	0.0821407116869	0.159807427813	0.492078952789	0.42483927626	0.369918597329	0.291850396393	0.225557296315	0.347593294723	0.526277011774	0.199249049749	0.157188992988	0.300491204222	0.370047352785	0.443329143337	0.695298749797	0.465738290704	0.680814481877	0.364039286437	0.270134849436	0.283207629512	0.261410359959	0.314655899578	0.355946923903	0.421374938001	0.381506558401	0.510945060479	0.423209150596	0.329233146829	0.292253405705	0.228279157429	0.298184763207	0.205614863319	0.1041673576	0.337043136447	0.303979090062	0.633490383824	0.578536397922	0.220030368186	0.2248345613	0.109916754055	0.334787432032	0.270966418191	0.664757160142	0.318803619137	0.306218072732	0.402871232695	0.32693528837	0.563963964559	0.164599390416	0.280802514952	0.687460057544	0.310372949194	0.493731713444	0.723673799862	0.700943092623	0.249292851343	0.318055296744	0.29709878337	0.332201429247	0.759316455434	0.270220176247	0.752290632904	0.15321285829	0.266920252457	0.177393873119	0.0536724004221	0.107482085646	3.44033534367	-0.70189361343	8
house	0.27295588302	0.315265619239	0.204638914307	0.209071228822	0.165121757405	0.459775849138	0.768731426363	0.284269831754	0.35109442611	0.363653148692	0.242537735145	0.331188856096	0.620421136255	0.367790913702	0.401303274548	0.355365328444	0.397572638325	0.687889199478	0.200265814686	0.212496233606	0.14897307137	0.564836825528	0.389077493798	0.268460493401	0.264534846198	0.219376914915	0.404756545081	0.453342146969	0.199109515475	0.121974945692	0.312092017724	0.379788301481	0.525262259266	0.746376060973	0.479021545215	0.721860916295	0.325423863102	0.275356237577	0.281870428352	0.235864578208	0.330317648143	0.392147783014	0.481950765361	0.451967503799	0.54006786311	0.358831975089	0.329528260141	0.28875071513	0.223260460487	0.295126109663	0.203013596362	0.142184413826	0.304914015324	0.325055414998	0.810313547075	0.530484714718	0.195953139917	0.234170372274	0.138767571119	0.366760403197	0.258549131956	0.816957939014	0.379260018606	0.308368826072	0.475527423743	0.348184058669	0.4954376706	0.151087111743	0.33538746467	0.724325160436	0.327900053056	0.556218149868	0.747801114225	0.771865481893	0.231016488993	0.371482723431	0.263707234027	0.367822018157	0.799147838452	0.269054000525	0.779716621746	0.0818812555771	0.118730983397	0.246514313427	0.19801604272	0.121115836602	3.60962913343	-0.790531596374	2
